prefix,prefix_bits,manufacturer,registry_type,is_ieee_reserved
0C8C8F,24,Kamo Technology Limited,MA-L,false
0C8CDC,24,Suunto Oy,MA-L,false
0C8D7A,24,Radiflow,MA-L,false
0C8D98,24,TOP EIGHT IND CORP,MA-L,false
0C8DCA,24,"Samsung Electronics Co.,ltd",MA-L,false
0C8DDB,24,Cisco Meraki,MA-L,false
0C8E29,24,Arcadyan Corporation,MA-L,false
0C8FFF,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0C9043,24,"Realme Chongqing Mobile Telecommunications Corp.,ltd.",MA-L,false
0C9160,24,"Hui Zhou Gaoshengda Technology Co.,ltd",MA-L,false
0C9192,24,Intel Corporate,MA-L,false
0C924E,24,Rice Lake Weighing Systems,MA-L,false
0C9301,24,PT. Prasimax Inovasi Teknologi,MA-L,false
0C938F,24,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",MA-L,false
0C93A5,24,Eero Inc,MA-L,false
0C93FB,24,BNS Solutions,MA-L,false
0C9505,24,"The Chamberlain Group, Inc",MA-L,false
0C9515,24,"Palltronics, Inc",MA-L,false
0C9541,24,CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.,MA-L,false
0C96BF,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0C96CD,24,MERCURY CORPORATION,MA-L,false
0C96E6,24,Cloud Network Technology (samoa) Limited,MA-L,false
0C975F,24,Hewlett Packard Enterprise,MA-L,false
0C979B,24,"FUJIAN STAR-NET COMMUNICATION CO.,LTD",MA-L,false
0C9838,24,Xiaomi Communications Co Ltd,MA-L,false
0C9A3C,24,Intel Corporate,MA-L,false
0C9A42,24,FN-LINK TECHNOLOGY LIMITED,MA-L,false
0C9AE6,24,"SZ DJI TECHNOLOGY CO.,LTD",MA-L,false
0C9B13,24,Shanghai Magic Mobile Telecommunication Co.ltd.,MA-L,false
0C9B78,24,Extreme Networks Headquarters,MA-L,false
0C9D56,24,Consort Controls Ltd,MA-L,false
0C9D92,24,Asustek COMPUTER INC.,MA-L,false
0C9E91,24,Sankosha Corporation,MA-L,false
0C9F71,24,"Dolphin Electronics (dongguan) Co., Ltd",MA-L,false
0CA06C,24,Industrial Cyber Sensing Inc,MA-L,false
0CA138,24,Blinq Networks Inc,MA-L,false
0CA2F4,24,Chameleon Technology (UK) Limited,MA-L,false
0CA402,24,Alcatel-lucent IPD,MA-L,false
0CA42A,24,"OB Telecom Electronic Technology Co., Ltd",MA-L,false
0CA64C,24,"Hangzhou Ezviz Software Co.,ltd.",MA-L,false
0CA694,24,"Sunitec Enterprise Co.,ltd",MA-L,false
0CA8A7,24,"Samsung Electronics Co.,ltd",MA-L,false
0CA94A,24,"Shenzhen Skyworth Digital Technology CO., Ltd",MA-L,false
0CAAEE,24,"Ansjer Electronics Co., Ltd",MA-L,false
0CAC05,24,Unitend Technologies Inc,MA-L,false
0CAC8A,24,Sagemcom Broadband SAS,MA-L,false
0CAE5F,24,Silicon Laboratories,MA-L,false
0CAE7D,24,Texas Instruments,MA-L,false
0CAEBD,24,Edifier International,MA-L,false
0CAF31,24,"Cisco Systems, Inc",MA-L,false
0CAF5A,24,GENUS POWER INFRASTRUCTURES LIMITED,MA-L,false
0CB088,24,Aitelecom,MA-L,false
0CB2B7,24,Texas Instruments,MA-L,false
0CB319,24,"Samsung Electronics Co.,ltd",MA-L,false
0CB34F,24,"Shenzhen Xiaoqi Intelligent Technology Co., Ltd",MA-L,false
0CB459,24,Marketech International Corp,MA-L,false
0CB4A4,24,Xintai Automobile Intelligent Network Technology,MA-L,false
0CB4EF,24,"Digience Co.,ltd.",MA-L,false
0CB527,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0CB5B3,24,"Huawei Device Co., Ltd",MA-L,false
0CB5DE,24,Alcatel Lucent,MA-L,false
0CB6D2,24,D-link International,MA-L,false
0CB771,24,Commscope,MA-L,false
0CB787,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0CB789,24,"Honor Device Co., Ltd",MA-L,false
0CB78E,24,"Huawei Device Co., Ltd",MA-L,false
0CB815,24,Espressif Inc,MA-L,false
0CB8E8,24,Renesas Electronics (penang) Sdn. Bhd.,MA-L,false
0CB912,24,JM-DATA Gmbh,MA-L,false
0CB937,24,"Ubee Interactive Co., Limited",MA-L,false
0CB983,24,"Honor Device Co., Ltd",MA-L,false
0CBC9F,24,"Apple, Inc",MA-L,false
0CBD51,24,TCT Mobile Ltd,MA-L,false
0CBD75,24,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",MA-L,false
0CBEF1,24,"Huawei Device Co., Ltd",MA-L,false
0CBF15,24,Genetec Inc,MA-L,false
0CBF3F,24,"Shenzhen Lencotion Technology Co.,ltd",MA-L,false
0CBF74,24,Morse Micro,MA-L,false
0CC0C0,24,MAGNETI MARELLI SISTEMAS ELECTRONICOS MEXICO,MA-L,false
0CC119,24,Shenzhen Phaten Tech. LTD,MA-L,false
0CC3A7,24,Meritec,MA-L,false
0CC3B8,24,"Shenzhen Jiahua Zhongli Technology Co., LTD",MA-L,false
0CC413,24,"Google, Inc",MA-L,false
0CC47A,24,"Super Micro Computer, Inc",MA-L,false
0CC47E,24,"EUCAST Co., Ltd",MA-L,false
0CC56C,24,"Apple, Inc",MA-L,false
0CC655,24,"Wuxi Ysten Technology Co.,ltd.",MA-L,false
0CC66A,24,Nokia Corporation,MA-L,false
0CC6AC,24,DAGS,MA-L,false
0CC6CC,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0CC6FD,24,Xiaomi Communications Co Ltd,MA-L,false
0CC731,24,"Currant, Inc",MA-L,false
0CC81F,24,"Summer Infant, Inc",MA-L,false
0CC844,24,"Cambridge Mobile Telematics, Inc",MA-L,false
0CC9C6,24,Samwin Hong Kong Limited,MA-L,false
0CCAFB,24,Tpvision Europe B.V,MA-L,false
0CCB0C,24,Isys RTS Gmbh,MA-L,false
0CCB85,24,"Motorola Mobility LLC, A Lenovo Company",MA-L,false
0CCB8D,24,ASCO Numatics Gmbh,MA-L,false
0CCC26,24,Airenetworks,MA-L,false
0CCC47,24,IEEE Registration Authority,MA-L,true
0CCC470,28,"Shenzhen Jooan Technology Co., Ltd",MA-M,false
0CCC471,28,General Industrial Controls Pvt Ltd,MA-M,false
0CCC472,28,Sun Yan International Trading Ltd,MA-M,false
0CCC473,28,"Shimane Masuda Electronics CO.,LTD.",MA-M,false
0CCC474,28,"Qingdao Geesatcom Technology Co., Ltd",MA-M,false
0CCC475,28,"DMECOM TELECOM CO.,LTD.",MA-M,false
0CCC476,28,Annapurna Labs,MA-M,false
0CCC477,28,Cyrus Audio LTD,MA-M,false
0CCC478,28,"NINGBO QIXIANG INFORMATION TECHNOLOGY CO., LTD",MA-M,false
0CCC479,28,Optconnect,MA-M,false
0CCC47A,28,"Rich Source Precision IND., Co., LTD.",MA-M,false
0CCC47B,28,"Spot AI, Inc",MA-M,false
0CCC47C,28,KUMI ELECTRONIC COMPONENTS,MA-M,false
0CCC47D,28,"GODOX Photo Equipment Co., Ltd",MA-M,false
0CCC47E,28,Foxconn Brasil Industria E Comercio Ltda,MA-M,false
0CCC5D,24,"Apple, Inc",MA-L,false
0CCDB4,24,"Sichuan Ai-link Technology Co., Ltd",MA-L,false
0CCDD3,24,"EASTRIVER TECHNOLOGY CO., LTD.",MA-L,false
0CCDFB,24,EDIC Systems Inc,MA-L,false
0CCEF6,24,"Guizhou Fortuneship Technology Co., Ltd",MA-L,false
0CCF89,24,SHENZHEN BILIAN ELECTRONIC CO.，LTD,MA-L,false
0CCFD1,24,"SPRINGWAVE Co., Ltd",MA-L,false
0CD0F8,24,"Cisco Systems, Inc",MA-L,false
0CD292,24,Intel Corporate,MA-L,false
0CD2B5,24,Binatone Telecommunication Pvt. Ltd,MA-L,false
0CD3A1,24,Monthly Kitchen,MA-L,false
0CD502,24,Westell Technologies Inc,MA-L,false
0CD5D3,24,"Cisco Systems, Inc",MA-L,false
0CD696,24,Amimon Ltd,MA-L,false
0CD6BD,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0CD746,24,"Apple, Inc",MA-L,false
0CD7C2,24,"Axium Technologies, Inc",MA-L,false
0CD86C,24,"SHENZHEN FAST TECHNOLOGIES CO.,LTD",MA-L,false
0CD923,24,GOCLOUD Networks(gaoke Networks),MA-L,false
0CD996,24,"Cisco Systems, Inc",MA-L,false
0CD9C1,24,Visteon Corporation,MA-L,false
0CDA41,24,"Hangzhou H3C Technologies Co., Limited",MA-L,false
0CDBEA,24,"Apple, Inc",MA-L,false
0CDC7E,24,Espressif Inc,MA-L,false
0CDC91,24,Amazon Technologies Inc,MA-L,false
0CDCCC,24,Inala Technologies,MA-L,false
0CDD24,24,Intel Corporate,MA-L,false
0CDDEF,24,Nokia Corporation,MA-L,false
0CDFA4,24,"Samsung Electronics Co.,ltd",MA-L,false
0CE041,24,Idruide,MA-L,false
0CE0DC,24,"Samsung Electronics Co.,ltd",MA-L,false
0CE0E4,24,"PLANTRONICS, INC.",MA-L,false
0CE0FC,24,Edgecore Americas Networking Corporation,MA-L,false
0CE159,24,"Shenzhen Istartek Technology Co., Ltd",MA-L,false
0CE441,24,"Apple, Inc",MA-L,false
0CE4A0,24,"Huawei Device Co., Ltd",MA-L,false
0CE5A3,24,Sharkninja,MA-L,false
0CE5B5,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0CE5D3,24,DH Electronics Gmbh,MA-L,false
0CE67C,24,"Realme Chongqing Mobile Telecommunications Corp.,ltd.",MA-L,false
0CE709,24,Fox Crypto B.V.,MA-L,false
0CE725,24,Microsoft Corporation,MA-L,false
0CE82F,24,Bonfiglioli Vectron Gmbh,MA-L,false
0CE936,24,ELIMOS Srl,MA-L,false
0CE99A,24,ATLS ALTEC,MA-L,false
0CEA14,24,Ubiquiti Inc,MA-L,false
0CEAC9,24,Commscope,MA-L,false
0CEC80,24,Texas Instruments,MA-L,false
0CEC84,24,Shenzhen TINNO Mobile Technology Corp,MA-L,false
0CEC8D,24,"Motorola Mobility LLC, A Lenovo Company",MA-L,false
0CED71,24,Extreme Networks Headquarters,MA-L,false
0CEDC8,24,Xiaomi Communications Co Ltd,MA-L,false
0CEE20,24,FBC,MA-L,false
0CEE99,24,Amazon Technologies Inc,MA-L,false
0CEEE6,24,"Hon Hai Precision Ind. Co.,ltd.",MA-L,false
0CEF15,24,Tp-link Systems Inc,MA-L,false
0CEF7C,24,Anacom Inc,MA-L,false
0CEFAF,24,IEEE Registration Authority,MA-L,true
0CEFAF0,28,Kenmore,MA-M,false
0CEFAF1,28,Goerlitz AG,MA-M,false
0CEFAF2,28,LUMEL S.A.,MA-M,false
0CEFAF3,28,Engineering Center ENERGOSERVICE,MA-M,false
0CEFAF4,28,Sentry360,MA-M,false
0CEFAF5,28,PREMIUM SA,MA-M,false
0CEFAF6,28,Firmware Design AS,MA-M,false
0CEFAF7,28,Syntrans AB,MA-M,false
0CEFAF8,28,BSX Athletics,MA-M,false
0CEFAF9,28,Rotel,MA-M,false
0CEFAFA,28,"Chengdu Joyotime Technology Co., Ltd",MA-M,false
0CEFAFB,28,"Hubei Century Network Technology Co., Ltd",MA-M,false
0CEFAFC,28,"Gainstrong Industry Co.,ltd",MA-M,false
0CEFAFD,28,CJSC «svyaz Engineering»,MA-M,false
0CEFAFE,28,Infinisource Inc,MA-M,false
0CEFAFF,28,Private,MA-M,false
0CEFF6,24,Silicon Laboratories,MA-L,false
0CF019,24,"Malgn Technology Co., Ltd",MA-L,false
0CF07B,24,"Shenzhen Skyworth Digital Technology CO., Ltd",MA-L,false
0CF0B4,24,Globalsat International Technology Ltd,MA-L,false
0CF346,24,Xiaomi Communications Co Ltd,MA-L,false
0CF361,24,Java Information,MA-L,false
0CF3EE,24,EM Microelectronic,MA-L,false
0CF405,24,"Beijing Signalway Technologies Co.,ltd",MA-L,false
0CF475,24,Zliide Technologies Aps,MA-L,false
0CF4D5,24,Ruckus Wireless,MA-L,false
0CF5A4,24,"Cisco Systems, Inc",MA-L,false
0CF893,24,Commscope,MA-L,false
0CF9C0,24,SKY UK LIMITED,MA-L,false
0CFA22,24,FLIPPER DEVICES INC,MA-L,false
0CFC18,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
0CFC83,24,"Airoha Technology Corp.,",MA-L,false
0CFD37,24,SUSE Linux Gmbh,MA-L,false
0CFE45,24,Sony Interactive Entertainment Inc,MA-L,false
0CFE5D,24,IEEE Registration Authority,MA-L,true
0CFE5D0,28,"Chengdu Ledong Information & Technology Co., Ltd",MA-M,false
0CFE5D1,28,Fender Musical Instrument,MA-M,false
0CFE5D2,28,"Dspread International Co.,limited",MA-M,false
0CFE5D3,28,"Beijing Wayclouds Technology Co., Ltd",MA-M,false
0CFE5D4,28,"Yantai Dongfang Wisdom Electic Co.,ltd.",MA-M,false
0CFE5D5,28,SELECTRIC Nachrichten-systeme Gmbh,MA-M,false
0CFE5D6,28,"Antailiye Technology Co.,ltd",MA-M,false
0CFE5D7,28,Vermes Microdispensing Gmbh,MA-M,false
0CFE5D8,28,"CTK Contact Electronics Co., Ltd",MA-M,false
0CFE5D9,28,Celerway Communication AS,MA-M,false
0CFE5DA,28,"Fujian Jieyu Computer Technology Co., Ltd",MA-M,false
0CFE5DB,28,YINUO-LINK LIMITED,MA-M,false
0CFE5DC,28,"Bepal Technology Co.,ltd.",MA-M,false
0CFE5DD,28,Maksat Technologies P Ltd,MA-M,false
0CFE5DE,28,"NEWGREEN TECH CO., LTD.",MA-M,false
0CFE7B,24,Vantiva USA LLC,MA-L,false
100000,24,Private,MA-L,false
100020,24,"Apple, Inc",MA-L,false
10003B,24,Espressif Inc,MA-L,false
10005A,24,IBM Corp,MA-L,false
1000E8,24,NATIONAL SEMICONDUCTOR,MA-L,false
1000FD,24,Laonpeople,MA-L,false
100177,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
1001CA,24,Ashley Butterworth,MA-L,false
1002B5,24,Intel Corporate,MA-L,false
1004C1,24,"JD Cloud Computing Co., Ltd",MA-L,false
100501,24,PEGATRON CORPORATION,MA-L,false
1005B1,24,Commscope,MA-L,false
1005CA,24,"Cisco Systems, Inc",MA-L,false
1005E1,24,Nokia,MA-L,false
10061C,24,Espressif Inc,MA-L,false
100645,24,Sagemcom Broadband SAS,MA-L,false
100648,24,IEEE Registration Authority,MA-L,true
1006480,28,FLEXTRONICS TECHNOLOGIES (INDIA) PVT LTD,MA-M,false
1006481,28,KYTRONICS,MA-M,false
1006482,28,Dynics,MA-M,false
1006483,28,Illuminous LLC,MA-M,false
1006484,28,"Beijing Cheering Networks Technology Co., Ltd",MA-M,false
1006485,28,Annapurna Labs,MA-M,false
1006486,28,"Hong Kong BOZZ Co., Limited.",MA-M,false
1006487,28,Wilson Electronics,MA-M,false
1006488,28,"Zhejiang Chenghao Technology Co. , Ltd",MA-M,false
1006489,28,Annapurna Labs,MA-M,false
100648A,28,"Dreame Innovation Technology(suzhou) Co.,ltd.",MA-M,false
100648B,28,"Shenzhen Smart-core Technology Co.,ltd.",MA-M,false
100648C,28,"Dongguan Hongyexiang Industrial Co.,ltd",MA-M,false
100648D,28,Microvast Energy,MA-M,false
100648E,28,Kloud-12 LLC,MA-M,false
1006ED,24,"Cisco Systems, Inc",MA-L,false
10071D,24,"Fiberhome Telecommunication Technologies Co.,ltd",MA-L,false
100723,24,IEEE Registration Authority,MA-L,true
1007230,28,Rippletek Tech Ltd,MA-M,false
1007231,28,"Beijing Assem Technology Co., Ltd",MA-M,false
1007232,28,Diginet Control Systems Pty Ltd,MA-M,false
1007233,28,Tongfang Computer Co.ltd.,MA-M,false
1007234,28,Audio Engineering Ltd,MA-M,false
1007235,28,"BEIJING SOOALL INFORMATION TECHNOLOGY CO.,LTD",MA-M,false
1007236,28,ESTONE TECHNOLOGY INC,MA-M,false
1007237,28,"Nanotech Co., Ltd",MA-M,false
1007238,28,Ion Professional Solutions,MA-M,false
1007239,28,Wireless Input Technology Inc,MA-M,false
100723A,28,TESSERA TECHNOLOGY INC.,MA-M,false
100723B,28,"Fujian Quanzhou Dong Ang Electronics Co., Ltd",MA-M,false
100723C,28,"Shenzhen Xinfa Electronic Co.,ltd",MA-M,false
100723E,28,"First Chair Acoustics Co., Ltd",MA-M,false
100723F,28,Private,MA-M,false
1007B6,24,"Samsung Electronics Co.,ltd",MA-L,false
10082C,24,Texas Instruments,MA-L,false
1008B1,24,"Hon Hai Precision Ind. Co.,ltd.",MA-L,false
10090C,24,JANOME Corporation,MA-L,false
1009F9,24,Amazon Technologies Inc,MA-L,false
100BA9,24,Intel Corporate,MA-L,false
100C24,24,"Pomdevices, LLC",MA-L,false
100C29,24,"Shenzhen NORCO Lntelligent Technology Co.,ltd",MA-L,false
100C6B,24,NETGEAR,MA-L,false
100D2F,24,Online Security Pty. Ltd,MA-L,false
100D32,24,"Embedian, Inc",MA-L,false
100D7F,24,NETGEAR,MA-L,false
100D8C,24,"Huawei Device Co., Ltd",MA-L,false
100E2B,24,NEC CASIO Mobile Communications,MA-L,false
100E7E,24,Juniper Networks,MA-L,false
100F18,24,"Fu Gang Electronic(kunshan)co.,ltd",MA-L,false
101081,24,Zte Corporation,MA-L,false
1010B6,24,Mccain Inc,MA-L,false
101212,24,Vivo International Corporation Pty Ltd,MA-L,false
101218,24,Korins Inc,MA-L,false
101248,24,"ITG, Inc",MA-L,false
101250,24,Integrated Device Technology (malaysia) Sdn. Bhd.,MA-L,false
1012B4,24,"Sichuan Tianyi Comheart Telecom Co.,ltd",MA-L,false
1012D0,24,Zte Corporation,MA-L,false
1012FB,24,"Hangzhou Hikvision Digital Technology Co.,ltd.",MA-L,false
101331,24,Technicolor Delivery Technologies Belgium NV,MA-L,false
1013EE,24,Justec International Technology INC.,MA-L,false
1015C1,24,"Zhanzuo (beijing) Technology Co., Ltd",MA-L,false
101849,24,"WEIFANG GOERTEK ELECTRONICS CO.,LTD",MA-L,false
10189E,24,Elmo Motion Control,MA-L,false
101965,24,"New H3C Technologies Co., Ltd",MA-L,false
101A92,24,"AKEBONO BRAKE INDUSTRY CO.,LTD.",MA-L,false
101B54,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
101C0C,24,"Apple, Inc",MA-L,false
101D51,24,8mesh Networks Limited,MA-L,false
101D6E,24,Hewlett Packard Enterprise,MA-L,false
101DC0,24,"Samsung Electronics Co.,ltd",MA-L,false
101EDA,24,INGENICO TERMINALS SAS,MA-L,false
101F74,24,Hewlett Packard,MA-L,false
1020BA,24,Espressif Inc,MA-L,false
102279,24,"Zerodesktop, Inc",MA-L,false
102381,24,"Barrot Technology Co.,ltd",MA-L,false
102407,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
1025CE,24,ELKA - Torantriebe Gmbh U. Co. Betriebs KG,MA-L,false
102779,24,Sadel S.p.a.,MA-L,false
1027BE,24,TVIP,MA-L,false
1027F5,24,Tp-link Systems Inc,MA-L,false
102831,24,Morion Inc,MA-L,false
102834,24,SALZ Automation Gmbh,MA-L,false
102874,24,"Shenzhen Jingxun Technology Co., Ltd",MA-L,false
102959,24,"Apple, Inc",MA-L,false
1029AB,24,"Samsung Electronics Co.,ltd",MA-L,false
102AB3,24,Xiaomi Communications Co Ltd,MA-L,false
102B1C,24,"Motorola Mobility LLC, A Lenovo Company",MA-L,false
102B41,24,"Samsung Electronics Co.,ltd",MA-L,false
102BAA,24,Sagemcom Broadband SAS,MA-L,false
102C6B,24,"AMPAK Technology, Inc",MA-L,false
102C83,24,XIMEA,MA-L,false
102C8D,24,"GD Midea Air-conditioning Equipment Co.,ltd.",MA-L,false
102CB1,24,Smart Innovation LLC,MA-L,false
102CEF,24,EMU Electronic AG,MA-L,false
102D31,24,Shenzhen Americas Trading Company LLC,MA-L,false
102D41,24,"Sichuan Ai-link Technology Co., Ltd",MA-L,false
102D96,24,Looxcie Inc,MA-L,false
102E00,24,Intel Corporate,MA-L,false
102EAF,24,Texas Instruments,MA-L,false
102F6B,24,Microsoft Corporation,MA-L,false
102F6E,24,Shenzhen Sundray Technologies Company Limited,MA-L,false
102FA3,24,Shenzhen Uvision-tech Technology Co.ltd,MA-L,false
102FCA,24,"Apple, Inc",MA-L,false
102FF8,24,"Vicoretek (nanjing) Co.,ltd.",MA-L,false
103025,24,"Apple, Inc",MA-L,false
103034,24,Cara Systems,MA-L,false
103047,24,"Samsung Electronics Co.,ltd",MA-L,false
10321D,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
10322C,24,"Murata Manufacturing Co., Ltd",MA-L,false
10327E,24,"Huawei Device Co., Ltd",MA-L,false
103378,24,"FLECTRON Co., LTD",MA-L,false
1033BF,24,Vantiva USA LLC,MA-L,false
10341B,24,Spacelink,MA-L,false
103597,24,Qorvo Utrecht B.V.,MA-L,false
10364A,24,Boston Dynamics,MA-L,false
1036AA,24,Vantiva - Connected Home,MA-L,false
103711,24,NORBIT ITS,MA-L,false
10381F,24,"Sichuan Ai-link Technology Co., Ltd",MA-L,false
103917,24,"Samsung Electronics Co.,ltd",MA-L,false
10394E,24,"Hisense Broadband Multimedia Technology Co.,ltd",MA-L,false
1039E9,24,Juniper Networks,MA-L,false
103B59,24,"Samsung Electronics Co.,ltd",MA-L,false
103C59,24,Zte Corporation,MA-L,false
103D0A,24,"Hui Zhou Gaoshengda Technology Co.,ltd",MA-L,false
103D1C,24,Intel Corporate,MA-L,false
103D3E,24,"China Mobile Group Device Co.,ltd.",MA-L,false
103DEA,24,HFC Technology (beijing) Ltd. Co.,MA-L,false
103F44,24,Xiaomi Communications Co Ltd,MA-L,false
103F8C,24,"New H3C Technologies Co., Ltd",MA-L,false
1040F3,24,"Apple, Inc",MA-L,false
104121,24,TELLESCOM INDUSTRIA E COMERCIO EM TELECOMUNICACAO,MA-L,false
10417F,24,"Apple, Inc",MA-L,false
104210,24,"Apple, Inc",MA-L,false
104369,24,Soundmax Electronic Limited,MA-L,false
104400,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
10445A,24,"Shaanxi Hitech Electronic Co., LTD",MA-L,false
1045BE,24,Norphonic AS,MA-L,false
1045F8,24,Lnt-automation Gmbh,MA-L,false
1046B4,24,Formericaoe,MA-L,false
104738,24,"Nokia Shanghai Bell Co., Ltd",MA-L,false
104780,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
1047E7,24,"Shenzhen YOUHUA Technology Co., Ltd",MA-L,false
1048B1,24,Beijing Duokan Technology Limited,MA-L,false
104963,24,HARTING K.K.,MA-L,false
104A7D,24,Intel Corporate,MA-L,false
104B46,24,Mitsubishi Electric Corporation,MA-L,false
104C43,24,"Fiberhome Telecommunication Technologies Co.,ltd",MA-L,false
104D15,24,Viaanix Inc,MA-L,false
104D77,24,Innovative Computer Engineering,MA-L,false
104E07,24,"Shanghai Genvision Industries Co.,ltd",MA-L,false
104E20,24,HSE SMART,MA-L,false
104E89,24,Garmin International,MA-L,false
104F58,24,Hewlett Packard Enterprise,MA-L,false
104FA8,24,Sony Corporation,MA-L,false
105072,24,Sercomm Corporation.,MA-L,false
105107,24,Intel Corporate,MA-L,false
105172,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
1051DB,24,Espressif Inc,MA-L,false
10521C,24,Espressif Inc,MA-L,false
1052BD,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
105403,24,INTARSO Gmbh,MA-L,false
1054D2,24,IEEE Registration Authority,MA-L,true
1054D20,28,"GIPS Technology Co., Ltd",MA-M,false
1054D21,28,"Jiangxi Ofilm&jvneng Iot Tech Co., Ltd",MA-M,false
1054D22,28,Comnav Technology Ltd,MA-M,false
1054D23,28,"Little Array Technology (shenzhen) Co., Ltd",MA-M,false
1054D24,28,Raylogic Control Systems Private Limited,MA-M,false
1054D25,28,Sybersense,MA-M,false
1054D26,28,Lanao Communication Technology Limited,MA-M,false
1054D27,28,"SHENZHEN CARSAFE TECHNOLOGY DEVELOPMENT CO.,LTD",MA-M,false
1054D28,28,Annapurna Labs,MA-M,false
1054D29,28,"Bamboo Dynamics Corporation., Ltd",MA-M,false
1054D2A,28,Embion B.V.,MA-M,false
1054D2B,28,"Shenzhen Dinstech Technology Co.,ltd.",MA-M,false
1054D2C,28,"LUXSHARE-ICT Co., Ltd",MA-M,false
1054D2D,28,Sun Wealth Technology Corporation Limited,MA-M,false
1054D2E,28,COSMO AIOT TECHNOLOGY CO LTD,MA-M,false
1055E4,24,"Shenzhen Skyworth Digital Technology CO., Ltd",MA-L,false
105611,24,Commscope,MA-L,false
1056CA,24,Peplink International Ltd,MA-L,false
105725,24,"Cisco Systems, Inc",MA-L,false
105887,24,"Fiberhome Telecommunication Technologies Co.,ltd",MA-L,false
105917,24,Tonal,MA-L,false
105932,24,"Roku, Inc",MA-L,false
105A17,24,Tuya Smart Inc,MA-L,false
105A95,24,Tp-link Systems Inc,MA-L,false
105AF7,24,ADB Italia,MA-L,false
105BAD,24,Mega Well Limited,MA-L,false
105C3B,24,"Perma-pipe, Inc",MA-L,false
105CBF,24,Durobyte Inc,MA-L,false
105DDC,24,"Huawei Device Co., Ltd",MA-L,false
105EAE,24,"New H3C Technologies Co., Ltd",MA-L,false
105F02,24,"Ruijie Networks Co.,ltd",MA-L,false
105F06,24,"Actiontec Electronics, Inc",MA-L,false
105F49,24,Cisco SPVTG,MA-L,false
105F81,24,"INTENTSECURE Inc.,",MA-L,false
105FAD,24,Intel Corporate,MA-L,false
105FD4,24,Tendyron Corporation,MA-L,false
10604B,24,Hewlett Packard,MA-L,false
1062C9,24,Adatis Gmbh & Co. KG,MA-L,false
1062D0,24,Vantiva USA LLC,MA-L,false
1062E5,24,Hewlett Packard,MA-L,false
1062EB,24,D-link International,MA-L,false
10634B,24,"SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.",MA-L,false
1063A3,24,IEEE Registration Authority,MA-L,true
1063A30,28,Changsha Sunvote Limited,MA-M,false
1063A31,28,"Jacobs Technology, Inc",MA-M,false
1063A32,28,Sichuan Puhui Zhida Communication Equipment Co. Ltd,MA-M,false
1063A33,28,Nextvision Stabilized Systems LTD,MA-M,false
1063A34,28,GANTECH E TECHNOLOGIES PRIVATE LIMITED,MA-M,false
1063A35,28,"Lianxin (dalian) Technology Co.,ltd",MA-M,false
1063A36,28,Morgan Schaffer,MA-M,false
1063A37,28,"NRS Co., Ltd",MA-M,false
1063A38,28,"Shanghai Kanghai Information System CO.,LTD.",MA-M,false
1063A39,28,Nexite,MA-M,false
1063A3A,28,ITAB Shop Products,MA-M,false
1063A3B,28,Shen Zhen Shi Shang Mei Dian Zi Shang Wu You Xian Gong Si,MA-M,false
1063A3C,28,FLAT-PRO LLC,MA-M,false
1063A3D,28,Triton Sensors,MA-M,false
1063A3E,28,Annapurna Labs,MA-M,false
1063C8,24,Liteon Technology Corporation,MA-L,false
1064E2,24,Adfweb.com S.r.l.,MA-L,false
106519,24,"Shenzhen Icomm Semiconductor CO.,LTD",MA-L,false
106530,24,Dell Inc,MA-L,false
1065A3,24,Panamax LLC,MA-L,false
1065CF,24,IQSIM,MA-L,false
106650,24,Robert Bosch Jup1,MA-L,false
10666A,24,Zabbly,MA-L,false
106682,24,"NEC Platforms, Ltd",MA-L,false
1067A3,24,"HUAWEI TECHNOLOGIES CO.,LTD",MA-L,false
106838,24,Azurewave Technology Inc,MA-L,false
10683F,24,LG Electronics (mobile Communications),MA-L,false
106F3F,24,BUFFALO.INC,MA-L,false
106FD9,24,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,MA-L,false
106FEF,24,Ad-sol Nissin Corp,MA-L,false
